Dates,CHF,EUR,GBP,USD,GOLD
29.06.2020,4.5446,4.8439,5.3026,4.2988,244.6308
26.06.2020,4.5515,4.8421,5.3454,4.3141,244.4582
25.06.2020,4.5477,4.8422,5.3638,4.3126,244.3854
24.06.2020,4.5355,4.8432,5.3611,4.286,245.054
23.06.2020,4.5381,4.8428,5.3408,4.2916,242.3869
22.06.2020,4.5432,4.8415,5.3577,4.3162,242.5507
19.06.2020,4.5383,4.8421,5.3608,4.3181,240.0152
18.06.2020,4.5311,4.8394,5.3759,4.2998,238.8513
17.06.2020,4.5291,4.835,5.3938,4.3049,237.4893
16.06.2020,4.5059,4.836,5.4006,4.2689,237.3394
15.06.2020,4.5171,4.8337,5.3857,4.2959,236.8566
12.06.2020,4.5104,4.834,5.3957,4.2713,237.9934
11.06.2020,4.5129,4.8358,5.3944,4.2483,236.6455
10.06.2020,4.4951,4.8338,5.4251,4.2555,235.2064
09.06.2020,4.5008,4.8377,5.4253,4.2935,235.8418
05.06.2020,4.4587,4.8393,5.3923,4.2695,234.504
04.06.2020,4.5005,4.8387,5.4094,4.3203,237.1382
03.06.2020,4.4819,4.8398,5.4325,4.3112,238.2284
02.06.2020,4.5077,4.8419,5.4413,4.3293,242.0617
29.05.2020,4.5273,4.8426,5.3509,4.3517,241.3579
28.05.2020,4.5368,4.8421,5.3915,4.3983,243.7483
27.05.2020,4.5436,4.8432,5.4302,4.4053,241.7272
26.05.2020,4.5621,4.8415,5.4384,4.4172,244.5322
25.05.2020,4.5685,4.8396,5.4098,4.4406,247.0285
22.05.2020,4.5692,4.8422,5.4112,4.4424,247.7333
21.05.2020,4.5699,4.8425,5.4004,4.4163,246.1668
20.05.2020,4.5738,4.8421,5.4205,4.4218,248.7938
19.05.2020,4.5508,4.8395,5.4121,4.4192,246.6258
18.05.2020,4.6037,4.8392,5.4272,4.4783,253.7705
15.05.2020,4.6018,4.839,5.461,4.4768,249.8083
14.05.2020,4.6004,4.8376,5.4709,4.4743,247.2592
13.05.2020,4.5939,4.8349,5.4873,4.4578,243.9579
12.05.2020,4.5925,4.8297,5.5046,4.4639,244.7235
11.05.2020,4.5901,4.8295,5.5163,4.461,243.9362
08.05.2020,4.5859,4.8278,5.5143,4.4545,246.4813
07.05.2020,4.5825,4.8242,5.5241,4.4695,243.2582
06.05.2020,4.5857,4.8258,5.5335,4.4708,244.5964
05.05.2020,4.5892,4.829,5.5397,4.4515,242.9895
04.05.2020,4.588,4.8387,5.5023,4.424,242.3785
30.04.2020,4.5838,4.8421,5.5644,4.4541,245.7869
29.04.2020,4.5833,4.8425,5.5378,4.459,244.6201
28.04.2020,4.5744,4.8436,5.5638,4.452,244.6873
27.04.2020,4.5828,4.836,5.5421,4.46,246.2282
24.04.2020,4.6047,4.8412,5.5423,4.4984,249.9219
23.04.2020,4.6058,4.8414,5.5441,4.4926,249.424
22.04.2020,4.5971,4.8382,5.5039,4.4536,243.6181
21.04.2020,4.5979,4.8345,5.51,4.4605,240.4832
16.04.2020,4.5981,4.836,5.5532,4.4524,246.3635
15.04.2020,4.5883,4.8345,5.5327,4.4215,243.8895
14.04.2020,4.5831,4.8327,5.5399,4.415,244.2835
13.04.2020,4.5708,4.8297,5.5222,4.4155,239.916
10.04.2020,4.5706,4.8277,5.5048,4.4115,239.8384
09.04.2020,4.5746,4.8278,5.5115,4.4355,237.0045
08.04.2020,4.5796,4.8338,5.4833,4.4477,236.2803
07.04.2020,4.5663,4.8314,5.4595,4.4445,236.0954
06.04.2020,4.5696,4.828,5.4926,4.4671,234.7566
03.04.2020,4.5775,4.8286,5.4858,4.4674,231.4961
02.04.2020,4.5682,4.8288,5.4966,4.4163,225.8515
01.04.2020,4.5646,4.8246,5.4549,4.4133,226.3166
31.03.2020,4.5607,4.8254,5.423,4.3983,227.3269
30.03.2020,4.5656,4.8297,5.4096,4.3637,227.5171
27.03.2020,4.5616,4.8332,5.3759,4.389,228.9056
26.03.2020,4.5454,4.8345,5.2732,4.4143,229.2882
25.03.2020,4.5573,4.8367,5.3303,4.4722,232.945
24.03.2020,4.5789,4.8445,5.2435,4.458,230.0101
23.03.2020,4.5972,4.8443,5.2518,4.5316,217.7939
20.03.2020,4.5964,4.8444,5.3177,4.514,219.0927
19.03.2020,4.5934,4.844,5.1647,4.4864,212.5694
18.03.2020,4.5911,4.8438,5.2799,4.4027,213.08
17.03.2020,4.5885,4.8448,5.3123,4.388,207.6707
16.03.2020,4.5699,4.8242,5.3162,4.3202,208.8575
13.03.2020,4.5643,4.8174,5.4379,4.3155,220.1762
12.03.2020,4.5662,4.8157,5.4637,4.2856,225.6909
11.03.2020,4.5447,4.8167,5.5035,4.2539,227.4536
10.03.2020,4.5424,4.817,5.5361,4.2433,226.6269
09.03.2020,4.5506,4.8184,5.5238,4.2182,227.4317
06.03.2020,4.5385,4.811,5.5299,4.2534,230.2997
05.03.2020,4.517,4.8086,5.5639,4.3072,227.8001
04.03.2020,4.5143,4.8057,5.5187,4.3126,227.7276
03.03.2020,4.5138,4.8074,5.5327,4.3263,222.434
02.03.2020,4.5161,4.8103,5.5453,4.3389,224.4109
28.02.2020,4.5243,4.8127,5.6207,4.3601,228.5606
27.02.2020,4.5223,4.8068,5.6544,4.3926,232.5829
26.02.2020,4.5312,4.8074,5.7166,4.4186,234.1367
25.02.2020,4.5355,4.8079,5.7552,4.4355,236.0469
24.02.2020,4.5257,4.8024,5.7281,4.4395,240.4606
21.02.2020,4.5258,4.8026,5.7406,4.4462,233.5122
20.02.2020,4.5078,4.7834,5.7074,4.4307,229.4268
19.02.2020,4.4982,4.7789,5.7446,4.4241,229.0604
18.02.2020,4.4986,4.78,5.7511,4.4131,225.2035
17.02.2020,4.4844,4.7748,5.7369,4.4026,223.7158
14.02.2020,4.484,4.7694,5.7297,4.4,222.8755
13.02.2020,4.4812,4.7646,5.6853,4.379,221.611
12.02.2020,4.4797,4.7662,5.668,4.3661,219.9792
11.02.2020,4.4712,4.7696,5.6458,4.3692,220.2258
10.02.2020,4.4529,4.7668,5.6255,4.3528,220.157
07.02.2020,4.4561,4.7642,5.6225,4.3499,219.3768
06.02.2020,4.4469,4.7651,5.6146,4.3311,218.0249
05.02.2020,4.4566,4.7768,5.6597,4.3347,216.3134
04.02.2020,4.4647,4.7779,5.6221,4.3227,218.2964
03.02.2020,4.4773,4.7788,5.642,4.3181,219.2386
31.01.2020,4.4691,4.7779,5.6778,4.3309,220.0322
30.01.2020,4.4657,4.779,5.6463,4.3384,220.3379
29.01.2020,4.4536,4.7769,5.6485,4.3418,219.3158
28.01.2020,4.4767,4.7787,5.6456,4.3378,220.2158
27.01.2020,4.4707,4.7798,5.6747,4.3348,220.9342
23.01.2020,4.4487,4.779,5.6586,4.3101,215.3851
22.01.2020,4.4378,4.7786,5.6295,4.3095,215.9731
21.01.2020,4.4503,4.779,5.6108,4.3042,215.2153
20.01.2020,4.4485,4.7788,5.5968,4.3105,216.2165
17.01.2020,4.4485,4.7792,5.6074,4.2976,215.0476
16.01.2020,4.4492,4.7795,5.592,4.2831,214.1137
15.01.2020,4.4445,4.7798,5.579,4.2932,214.2132
14.01.2020,4.4309,4.7794,5.5717,4.2928,213.2826
13.01.2020,4.4192,4.7791,5.5821,4.2993,214.3755
10.01.2020,4.4175,4.7795,5.6279,4.3088,214.5417
09.01.2020,4.416,4.7774,5.6063,4.3001,214.0005
08.01.2020,4.4161,4.7776,5.6356,4.2923,218.2474
07.01.2020,4.3995,4.775,5.619,4.2741,215.1227
06.01.2020,4.4033,4.776,5.6145,4.2658,216.2917
03.01.2020,4.4084,4.7789,5.613,4.2922,213.7734
31.12.2019,4.4033,4.7793,5.6088,4.2608,208.5985
30.12.2019,4.39,4.7785,5.5984,4.2698,207.5741
27.12.2019,4.3919,4.7799,5.6049,4.29,208.4202
24.12.2019,4.3942,4.7794,5.5824,4.3168,206.9494
23.12.2019,4.3883,4.7716,5.5874,4.3036,205.435
20.12.2019,4.3797,4.7736,5.6025,4.2951,203.9749
19.12.2019,4.3734,4.774,5.6168,4.288,203.233
18.12.2019,4.3786,4.7773,5.6227,4.2911,204.0485
17.12.2019,4.3607,4.7769,5.6531,4.2831,203.6828
16.12.2019,4.3622,4.7781,5.7295,4.2878,203.6833
13.12.2019,4.3448,4.7786,5.7198,4.2746,202.1797
12.12.2019,4.3703,4.7791,5.6655,4.2931,203.5745
11.12.2019,4.3785,4.7794,5.6715,4.3124,203.4229
10.12.2019,4.3771,4.7787,5.6852,4.3149,203.2034
09.12.2019,4.359,4.7777,5.684,4.3149,203.0272
06.12.2019,4.3582,4.7785,5.6554,4.3069,204.2895
05.12.2019,4.3562,4.7764,5.6549,4.3067,204.0945
04.12.2019,4.362,4.7744,5.6236,4.3117,204.8011
03.12.2019,4.3584,4.7762,5.597,4.3143,203.9954
02.12.2019,4.34,4.7777,5.5965,4.3378,203.0518
29.11.2019,4.3443,4.7781,5.5999,4.3425,203.3507
28.11.2019,4.3461,4.7788,5.6119,4.3394,203.3589
27.11.2019,4.3505,4.7792,5.593,4.3422,203.8477
26.11.2019,4.3472,4.7765,5.5735,4.3356,203.2127
25.11.2019,4.3441,4.7722,5.5805,4.3325,203.2162
22.11.2019,4.3412,4.7729,5.558,4.316,204.0654
21.11.2019,4.3531,4.7808,5.585,4.3144,203.6385
20.11.2019,4.3546,4.7776,5.5732,4.3172,204.7771
19.11.2019,4.3522,4.7759,5.581,4.3145,203.3031
18.11.2019,4.3586,4.7729,5.5938,4.3159,202.326
15.11.2019,4.3685,4.7667,5.5647,4.3224,203.6272
14.11.2019,4.3832,4.7669,5.574,4.3343,204.6051
13.11.2019,4.3682,4.7635,5.5596,4.3251,203.5824
12.11.2019,4.341,4.7619,5.5448,4.3202,202.0404
11.11.2019,4.3386,4.7627,5.5297,4.3164,203.467
08.11.2019,4.3304,4.7615,5.527,4.3137,203.3805
07.11.2019,4.3288,4.7597,5.5246,4.2932,204.8362
06.11.2019,4.3255,4.7626,5.5344,4.2949,205.3117
05.11.2019,4.3138,4.754,5.5154,4.2742,206.7789
04.11.2019,4.3104,4.755,5.5022,4.26,206.8812
01.11.2019,4.3217,4.7545,5.5253,4.267,207.1927
31.10.2019,4.3163,4.7576,5.5189,4.2614,206.2074
30.10.2019,4.312,4.7572,5.513,4.2765,205.3068
29.10.2019,4.3111,4.7567,5.5064,4.2927,205.1682
28.10.2019,4.309,4.7569,5.5009,4.2876,207.5084
25.10.2019,4.3151,4.7563,5.4913,4.2784,206.9714
24.10.2019,4.3115,4.7528,5.5035,4.2708,204.3941
23.10.2019,4.3275,4.76,5.5029,4.2821,205.6304
22.10.2019,4.3205,4.7601,5.5266,4.2726,204.3163
21.10.2019,4.326,4.7592,5.5323,4.2607,204.2784
18.10.2019,4.3243,4.7556,5.5125,4.2732,204.4044
17.10.2019,4.3002,4.755,5.5278,4.2719,203.9407
16.10.2019,4.3166,4.7537,5.4855,4.3082,205.4935
15.10.2019,4.3241,4.7524,5.455,4.3164,207.4267
