Data,CHF,EUR,GBP,USD,GOLD
44007,4.5477,4.8422,5.3638,4.3126,244.3854
44006,4.5355,4.8432,5.3611,4.286,245.054
44005,4.5381,4.8428,5.3408,4.2916,242.3869
44004,4.5432,4.8415,5.3577,4.3162,242.5507
44001,4.5383,4.8421,5.3608,4.3181,240.0152
44000,4.5311,4.8394,5.3759,4.2998,238.8513
43999,4.5291,4.835,5.3938,4.3049,237.4893
43998,4.5059,4.836,5.4006,4.2689,237.3394
43997,4.5171,4.8337,5.3857,4.2959,236.8566
43994,4.5104,4.834,5.3957,4.2713,237.9934
43993,4.5129,4.8358,5.3944,4.2483,236.6455
43992,4.4951,4.8338,5.4251,4.2555,235.2064
43991,4.5008,4.8377,5.4253,4.2935,235.8418
43987,4.4587,4.8393,5.3923,4.2695,234.504
43986,4.5005,4.8387,5.4094,4.3203,237.1382
43985,4.4819,4.8398,5.4325,4.3112,238.2284
43984,4.5077,4.8419,5.4413,4.3293,242.0617
43980,4.5273,4.8426,5.3509,4.3517,241.3579
43979,4.5368,4.8421,5.3915,4.3983,243.7483
43978,4.5436,4.8432,5.4302,4.4053,241.7272
43977,4.5621,4.8415,5.4384,4.4172,244.5322
43976,4.5685,4.8396,5.4098,4.4406,247.0285
43973,4.5692,4.8422,5.4112,4.4424,247.7333
43972,4.5699,4.8425,5.4004,4.4163,246.1668
43971,4.5738,4.8421,5.4205,4.4218,248.7938
43970,4.5508,4.8395,5.4121,4.4192,246.6258
43969,4.6037,4.8392,5.4272,4.4783,253.7705
43966,4.6018,4.839,5.461,4.4768,249.8083
43965,4.6004,4.8376,5.4709,4.4743,247.2592
43964,4.5939,4.8349,5.4873,4.4578,243.9579
43963,4.5925,4.8297,5.5046,4.4639,244.7235
43962,4.5901,4.8295,5.5163,4.461,243.9362
43959,4.5859,4.8278,5.5143,4.4545,246.4813
43958,4.5825,4.8242,5.5241,4.4695,243.2582
43957,4.5857,4.8258,5.5335,4.4708,244.5964
43956,4.5892,4.829,5.5397,4.4515,242.9895
43955,4.588,4.8387,5.5023,4.424,242.3785
43951,4.5838,4.8421,5.5644,4.4541,245.7869
43950,4.5833,4.8425,5.5378,4.459,244.6201
43949,4.5744,4.8436,5.5638,4.452,244.6873
43948,4.5828,4.836,5.5421,4.46,246.2282
43945,4.6047,4.8412,5.5423,4.4984,249.9219
43944,4.6058,4.8414,5.5441,4.4926,249.424
43943,4.5971,4.8382,5.5039,4.4536,243.6181
43942,4.5979,4.8345,5.51,4.4605,240.4832
43937,4.5981,4.836,5.5532,4.4524,246.3635
43936,4.5883,4.8345,5.5327,4.4215,243.8895
43935,4.5831,4.8327,5.5399,4.415,244.2835
43934,4.5708,4.8297,5.5222,4.4155,239.916
43931,4.5706,4.8277,5.5048,4.4115,239.8384
43930,4.5746,4.8278,5.5115,4.4355,237.0045
43929,4.5796,4.8338,5.4833,4.4477,236.2803
43928,4.5663,4.8314,5.4595,4.4445,236.0954
43927,4.5696,4.828,5.4926,4.4671,234.7566
43924,4.5775,4.8286,5.4858,4.4674,231.4961
43923,4.5682,4.8288,5.4966,4.4163,225.8515
43922,4.5646,4.8246,5.4549,4.4133,226.3166
43921,4.5607,4.8254,5.423,4.3983,227.3269
43920,4.5656,4.8297,5.4096,4.3637,227.5171
43917,4.5616,4.8332,5.3759,4.389,228.9056
43916,4.5454,4.8345,5.2732,4.4143,229.2882
43915,4.5573,4.8367,5.3303,4.4722,232.945
43914,4.5789,4.8445,5.2435,4.458,230.0101
43913,4.5972,4.8443,5.2518,4.5316,217.7939
43910,4.5964,4.8444,5.3177,4.514,219.0927
43909,4.5934,4.844,5.1647,4.4864,212.5694
43908,4.5911,4.8438,5.2799,4.4027,213.08
43907,4.5885,4.8448,5.3123,4.388,207.6707
43906,4.5699,4.8242,5.3162,4.3202,208.8575
43903,4.5643,4.8174,5.4379,4.3155,220.1762
43902,4.5662,4.8157,5.4637,4.2856,225.6909
43901,4.5447,4.8167,5.5035,4.2539,227.4536
43900,4.5424,4.817,5.5361,4.2433,226.6269
43899,4.5506,4.8184,5.5238,4.2182,227.4317
43896,4.5385,4.811,5.5299,4.2534,230.2997
43895,4.517,4.8086,5.5639,4.3072,227.8001
43894,4.5143,4.8057,5.5187,4.3126,227.7276
43893,4.5138,4.8074,5.5327,4.3263,222.434
43892,4.5161,4.8103,5.5453,4.3389,224.4109
43889,4.5243,4.8127,5.6207,4.3601,228.5606
43888,4.5223,4.8068,5.6544,4.3926,232.5829
43887,4.5312,4.8074,5.7166,4.4186,234.1367
43886,4.5355,4.8079,5.7552,4.4355,236.0469
